step,Metrics/loss,lr
0,10.40317153930664,0.001
1,10.402223587036133,0.001
2,10.400403022766113,0.001
3,10.393157958984375,0.001
4,10.37192153930664,0.001
5,10.361729621887207,0.001
6,10.28675365447998,0.001
7,10.263995170593262,0.001
8,10.160863876342773,0.001
9,10.13260555267334,0.001
10,10.11297607421875,0.001
11,10.061158180236816,0.001
12,10.028687477111816,0.001
13,10.003689765930176,0.001
14,9.965758323669434,0.001
15,9.946663856506348,0.001
16,9.927355766296387,0.001
17,9.912758827209473,0.001
18,9.882298469543457,0.001
19,9.88778018951416,0.001
20,9.8632173538208,0.001
21,9.8563814163208,0.001
22,9.832422256469727,0.001
23,9.81246566772461,0.001
24,9.790443420410156,0.001
25,9.779816627502441,0.001
26,9.768317222595215,0.001
27,9.75485897064209,0.001
28,9.732528686523438,0.001
29,9.705011367797852,0.001
30,9.711996078491211,0.001
31,9.671167373657227,0.001
32,9.652528762817383,0.001
33,9.631784439086914,0.001
34,9.60532283782959,0.001
35,9.56663703918457,0.001
36,9.564323425292969,0.001
37,9.552477836608887,0.001
38,9.505256652832031,0.001
39,9.467509269714355,0.001
40,9.452203750610352,0.001
41,9.438761711120605,0.001
42,9.414993286132812,0.001
43,9.396865844726562,0.001
44,9.3444185256958,0.001
45,9.328703880310059,0.001
46,9.294265747070312,0.001
47,9.269994735717773,0.001
48,9.230575561523438,0.001
49,9.208879470825195,0.001
50,9.16039752960205,0.001
51,9.136942863464355,0.001
52,9.116168022155762,0.001
53,9.102566719055176,0.001
54,9.068906784057617,0.001
55,9.036334991455078,0.001
56,8.990457534790039,0.001
57,8.969107627868652,0.001
58,8.92427921295166,0.001
59,8.919516563415527,0.001
60,8.876837730407715,0.001
61,8.84090805053711,0.001
62,8.834633827209473,0.001
63,8.786371231079102,0.001
64,8.761445999145508,0.001
65,8.727749824523926,0.001
66,8.686720848083496,0.001
67,8.641840934753418,0.001
68,8.616806030273438,0.001
69,8.615673065185547,0.001
70,8.560242652893066,0.001
71,8.536638259887695,0.001
72,8.492813110351562,0.001
73,8.467124938964844,0.001
74,8.420967102050781,0.001
75,8.418107986450195,0.001
76,8.371221542358398,0.001
77,8.381088256835938,0.001
78,8.29821491241455,0.001
79,8.288907051086426,0.001
80,8.250337600708008,0.001
81,8.209901809692383,0.001
82,8.165769577026367,0.001
83,8.132706642150879,0.001
84,8.128860473632812,0.001
85,8.124727249145508,0.001
86,8.064767837524414,0.001
87,8.055791854858398,0.001
88,8.004981994628906,0.001
89,7.96401309967041,0.001
90,7.920444965362549,0.001
91,7.927290439605713,0.001
92,7.90175199508667,0.001
93,7.8284173011779785,0.001
94,7.825192928314209,0.001
95,7.835829734802246,0.001
96,7.79025936126709,0.001
97,7.711320877075195,0.001
98,7.714802265167236,0.001
99,7.6578049659729,0.001
100,7.654539585113525,0.001
101,7.62168025970459,0.001
102,7.609612464904785,0.001
103,7.613161087036133,0.001
104,7.574146747589111,0.001
105,7.509768962860107,0.001
106,7.456031799316406,0.001
107,7.481990337371826,0.001
108,7.435524940490723,0.001
109,7.450412273406982,0.001
110,7.366543292999268,0.001
111,7.34149169921875,0.001
112,7.359671592712402,0.001
113,7.314630508422852,0.001
114,7.276621341705322,0.001
115,7.294748783111572,0.001
116,7.228126525878906,0.001
117,7.216978549957275,0.001
118,7.188960552215576,0.001
119,7.120492935180664,0.001
120,7.1537933349609375,0.001
121,7.123269081115723,0.001
122,7.081575393676758,0.001
123,7.088437557220459,0.001
124,7.044414043426514,0.001
125,7.056729793548584,0.001
126,6.9875946044921875,0.001
127,6.96279239654541,0.001
128,6.9297637939453125,0.001
129,6.944691181182861,0.001
130,6.89428186416626,0.001
131,6.917181968688965,0.001
132,6.887104511260986,0.001
133,6.815727710723877,0.001
134,6.833513259887695,0.001
135,6.795804977416992,0.001
136,6.809179306030273,0.001
137,6.734557151794434,0.001
138,6.786310195922852,0.001
139,6.749021530151367,0.001
140,6.737943649291992,0.001
141,6.752565860748291,0.001
142,6.725578784942627,0.001
143,6.699413299560547,0.001
144,6.627673625946045,0.001
145,6.650089263916016,0.001
146,6.674597263336182,0.001
147,6.602897644042969,0.001
148,6.6071672439575195,0.001
149,6.617281436920166,0.001
150,6.538122653961182,0.001
151,6.563493728637695,0.001
152,6.518385887145996,0.001
153,6.491611003875732,0.001
154,6.455116271972656,0.001
155,6.511244773864746,0.001
156,6.446901321411133,0.001
157,6.485019207000732,0.001
158,6.458983421325684,0.001
159,6.448477268218994,0.001
160,6.393714427947998,0.001
161,6.415278434753418,0.001
162,6.401712894439697,0.001
163,6.389983654022217,0.001
164,6.386075019836426,0.001
165,6.348081111907959,0.001
166,6.418722152709961,0.001
167,6.366857528686523,0.001
168,6.297966480255127,0.001
169,6.343135356903076,0.001
170,6.272475242614746,0.001
171,6.298923969268799,0.001
172,6.2976531982421875,0.001
173,6.238575458526611,0.001
174,6.290308475494385,0.001
175,6.25340461730957,0.001
176,6.264084815979004,0.001
177,6.200255393981934,0.001
178,6.203854084014893,0.001
179,6.209390640258789,0.001
180,6.2121992111206055,0.001
181,6.218913555145264,0.001
182,6.23963737487793,0.001
183,6.118584632873535,0.001
184,6.159083366394043,0.001
185,6.144795894622803,0.001
186,6.122948169708252,0.001
187,6.094456195831299,0.001
188,6.132951259613037,0.001
189,6.094397068023682,0.001
190,6.103080749511719,0.001
191,6.124828815460205,0.001
192,6.104869365692139,0.001
193,6.0738749504089355,0.001
194,6.067386150360107,0.001
195,6.131514072418213,0.001
196,6.054810523986816,0.001
197,6.011571407318115,0.001
198,6.041295051574707,0.001
199,6.024738311767578,0.001
200,6.040394306182861,0.001
201,6.025655746459961,0.001
202,5.969660758972168,0.001
203,6.01249361038208,0.001
204,5.983983516693115,0.001
205,6.028011322021484,0.001
206,6.006072998046875,0.001
207,5.932881832122803,0.001
208,5.976828098297119,0.001
209,6.015347957611084,0.001
210,5.914345741271973,0.001
211,5.930975914001465,0.001
212,5.943807125091553,0.001
213,5.9302215576171875,0.001
214,5.897643089294434,0.001
215,5.910667419433594,0.001
216,5.888515472412109,0.001
217,5.862853050231934,0.001
218,5.902536392211914,0.001
219,5.930609703063965,0.001
220,5.829499244689941,0.001
221,5.835485935211182,0.001
222,5.840663433074951,0.001
223,5.861400127410889,0.001
224,5.84572172164917,0.001
225,5.864597320556641,0.001
226,5.864118576049805,0.001
227,5.8842644691467285,0.001
228,5.82275390625,0.001
229,5.7901482582092285,0.001
230,5.799953937530518,0.001
231,5.820412635803223,0.001
232,5.812656402587891,0.001
233,5.8006415367126465,0.001
234,5.772787570953369,0.001
235,5.7468438148498535,0.001
236,5.815242767333984,0.001
237,5.761303901672363,0.001
238,5.710743427276611,0.001
239,5.797041416168213,0.001
240,5.800996780395508,0.001
241,5.723526954650879,0.001
242,5.711988925933838,0.001
243,5.772068023681641,0.001
244,5.79270601272583,0.001
245,5.735714435577393,0.001
246,5.747036933898926,0.001
247,5.727968692779541,0.001
248,5.684751987457275,0.001
249,5.657158374786377,0.001
250,5.710249423980713,0.001
251,5.658769607543945,0.001
252,5.6439080238342285,0.001
253,5.7179951667785645,0.001
254,5.639052391052246,0.001
255,5.683078765869141,0.001
256,5.625617027282715,0.001
257,5.641966342926025,0.001
258,5.630366325378418,0.001
259,5.576626300811768,0.001
260,5.596693515777588,0.001
261,5.647282123565674,0.001
262,5.637168884277344,0.001
263,5.623678684234619,0.001
264,5.642966270446777,0.001
265,5.595035552978516,0.001
266,5.53554630279541,0.001
267,5.541332244873047,0.001
268,5.595850944519043,0.001
269,5.582089424133301,0.001
270,5.537187099456787,0.001
271,5.551576137542725,0.001
272,5.557552814483643,0.001
273,5.535057067871094,0.001
274,5.577972412109375,0.001
275,5.513246536254883,0.001
276,5.501902103424072,0.001
277,5.529891014099121,0.001
278,5.549920082092285,0.001
279,5.531546115875244,0.001
280,5.499660491943359,0.001
281,5.500860691070557,0.001
282,5.500086784362793,0.001
283,5.483256816864014,0.001
284,5.498697280883789,0.001
285,5.545041084289551,0.001
286,5.460150241851807,0.001
287,5.48965311050415,0.001
288,5.447661876678467,0.001
289,5.479532718658447,0.001
290,5.4716949462890625,0.001
291,5.461236476898193,0.001
292,5.445104122161865,0.001
293,5.445580959320068,0.001
294,5.441223621368408,0.001
295,5.425329685211182,0.001
296,5.459216117858887,0.001
297,5.4465813636779785,0.001
298,5.461967468261719,0.001
299,5.402213096618652,0.001
300,5.3851141929626465,0.001
301,5.451514720916748,0.001
302,5.379377841949463,0.001
303,5.393616676330566,0.001
